timestamp,folder,file_name,total_questions,correct_answers,accuracy,verifier_provider,verifier_model
2025-09-24T02:13:17,Iterative-RAG,responses_bedrock_mistral.mistral-large-2402-v1:0_reverified.jsonl,1186,893,0.7530,openai,gpt-5-mini
2025-09-24T02:13:17,Iterative-RAG,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0-reasoning_reverified.jsonl,1186,1021,0.8609,openai,gpt-5-mini
2025-09-24T02:13:17,Iterative-RAG,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0_reverified.jsonl,1186,1002,0.8449,openai,gpt-5-mini
2025-09-24T02:13:17,Iterative-RAG,responses_bedrock_us.deepseek.r1-v1:0-reasoning_reverified.jsonl,1186,976,0.8229,openai,gpt-5-mini
2025-09-24T02:13:17,Iterative-RAG,responses_openai_gpt-4o_reverified.jsonl,1186,972,0.8196,openai,gpt-5-mini
2025-09-24T02:13:17,Iterative-RAG,responses_openai_gpt-5_reverified.jsonl,1186,959,0.8086,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_mistral.mistral-large-2402-v1:0_reverified.jsonl,1186,861,0.7260,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_us.anthropic.claude-3-5-sonnet-20241022-v2:0_reverified.jsonl,1186,746,0.6290,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0-reasoning_reverified.jsonl,1186,869,0.7327,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0_reverified.jsonl,1186,808,0.6813,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_us.deepseek.r1-v1:0-reasoning_reverified.jsonl,1186,860,0.7251,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_bedrock_us.meta.llama3-3-70b-instruct-v1:0_reverified.jsonl,1186,635,0.5354,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openai_gpt-4o-mini_reverified.jsonl,1186,626,0.5278,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openai_gpt-4o_reverified.jsonl,1186,668,0.5632,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openai_o1-mini_reverified.jsonl,1186,729,0.6147,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openai_o3-mini_reverified.jsonl,1186,824,0.6948,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openrouter_deepseek__deepseek-r1-distill-qwen-32b-reasoning_reverified.jsonl,1186,833,0.7024,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openrouter_google__gemma-3-27b-it_reverified.jsonl,1186,727,0.6130,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-with-context,responses_openrouter_qwen__qwq-32b-reasoning_reverified.jsonl,1186,843,0.7108,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_mistral.mistral-large-2402-v1:0_reverified.jsonl,1186,383,0.3229,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.anthropic.claude-3-5-sonnet-20241022-v2:0.jsonl,1186,397,0.3347,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.anthropic.claude-3-5-sonnet-20241022-v2:0_reverified.jsonl,1186,382,0.3221,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0-reasoning_reverified.jsonl,1186,472,0.3980,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.anthropic.claude-3-7-sonnet-20250219-v1:0_reverified.jsonl,1186,445,0.3752,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.deepseek.r1-v1:0-reasoning_reverified.jsonl,1186,463,0.3904,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_bedrock_us.meta.llama3-3-70b-instruct-v1:0_reverified.jsonl,1186,298,0.2513,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openai_gpt-4o-mini_reverified.jsonl,1186,301,0.2538,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openai_gpt-4o_reverified.jsonl,1186,383,0.3229,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openai_o1-mini_reverified.jsonl,1186,386,0.3255,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openai_o3-mini_reverified.jsonl,1186,467,0.3938,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openrouter_deepseek__deepseek-r1-distill-qwen-32b-reasoning_reverified.jsonl,1186,359,0.3027,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openrouter_google__gemma-3-27b-it_reverified.jsonl,1186,327,0.2757,openai,gpt-5-mini
2025-09-24T02:13:17,response-jsonl-without-context,responses_openrouter_qwen__qwq-32b-reasoning_reverified.jsonl,1186,369,0.3111,openai,gpt-5-mini
